People,Alaska,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Arizona,Maryland,Massachusetts,Michigan,Minnesota,Missouri,Mississippi,Montana,Nebraska,Nevada,New Hampshire,Arkansas,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,California,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Colorado,Wyoming,Connecticut,Delaware,District of Columbia,Florida,Alabama
Native Hawaiian and Other Pacific Islander alone; percent; July 1; 2015;  (V2015)  (a),1.3,0.1,9.9,0.2,0.1,0.1,0.1,0.1,0.1,0.1,Z,0.3,0.1,0.1,Z,0.1,0.1,0.1,0.1,0.1,0.8,Z,0.3,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.4,0.1,0.2,0.5,0.1,0.1,0.1,0.1,1,Z,0.1,0.7,Z,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1
Native Hawaiian and Other Pacific Islander alone; percent; April 1; 2010  (a),1,0.1,10,0.1,Z,Z,0.1,0.1,0.1,Z,Z,0.2,0.1,Z,Z,Z,0.1,Z,0.1,0.1,0.6,Z,0.2,Z,0.1,Z,0.1,Z,Z,0.1,0.3,Z,0.1,0.4,0.1,Z,0.1,0.1,0.9,Z,0.1,0.6,Z,Z,0.1,0.1,Z,Z,0.1,0.1,0.1
Two or More Races; percent; July 1; 2015;  (V2015),7.2,2,23,2.3,1.9,1.9,1.8,2.9,1.8,1.6,1.7,2.7,2.7,2.3,2.3,2.4,2.2,1.2,2.7,2.1,4.1,1.6,2,2.1,2.5,2.4,2.1,2.1,2.1,6,3.7,1.9,2.6,3.8,1.8,2.2,1.8,1.9,2.4,1.9,2.9,4.6,1.6,1.8,2.9,2.1,2.2,2.5,2.7,2,1.6
Two or More Races; percent; April 1; 2010,7.3,2.1,23.6,2.5,2.3,2,1.8,3,1.7,1.6,1.6,3.4,2.9,2.6,2.3,2.4,2.1,1.1,2.5,2.2,4.7,1.6,2,2.7,3.7,3,2.2,1.8,2.1,5.9,3.8,1.9,3.3,4.9,1.7,2.1,1.7,2.7,2.7,1.7,2.9,4.7,1.5,1.8,3.4,2.2,2.6,2.7,2.9,2.5,1.5
Hispanic or Latino; percent; July 1; 2015;  (V2015)  (b),7,9.4,10.4,12.2,16.9,6.7,5.7,11.6,3.4,5,1.6,30.7,9.5,11.2,4.9,5.2,4.1,3.1,3.6,10.4,28.1,3.4,7.2,19.7,48,18.8,9.1,3.5,3.6,10.1,12.7,6.8,14.4,38.8,5.5,3.6,5.2,38.8,13.7,1.8,9,12.4,1.5,6.6,21.3,9.9,15.4,9,10.6,24.5,4.2
Hispanic or Latino; percent; April 1; 2010  (b),5.5,8.8,8.9,11.2,15.8,6,5,10.5,3.1,4.2,1.3,29.6,8.2,9.6,4.4,4.7,3.5,2.7,2.9,9.2,26.5,2.8,6.4,17.7,46.3,17.6,8.4,2,3.1,8.9,11.7,5.7,12.4,37.6,5.1,2.7,4.6,37.6,13,1.5,7.9,11.2,1.2,5.9,20.7,8.9,13.4,8.2,9.1,22.5,3.9
White alone; not Hispanic or Latino; percent; July 1; 2015;  (V2015),61.5,53.9,22.9,82.5,61.9,80,86.7,76.4,85.1,59.1,93.6,55.8,52,73.5,75.6,81,79.8,57,86.5,80,50.7,91,73.1,56.2,38.4,56,63.8,85.8,79.8,66.5,76.6,77.4,73.9,38,63.8,82.9,74.4,43,79,93.3,62.7,69.8,92.3,81.9,68.7,84,68.2,63.2,36.1,55.3,66
White alone; not Hispanic or Latino; percent; April 1; 2010,64.1,55.9,22.7,84,63.7,81.5,88.7,78.2,86.3,60.3,94.4,57.8,54.7,76.1,76.6,83.1,81,58,87.8,82.1,54.1,92.3,74.5,59.3,40.5,58.3,65.3,88.9,81.1,68.7,78.5,79.5,76.4,40.1,64.1,84.7,75.6,45.3,80.4,94.3,64.8,72.5,93.2,83.3,70,85.9,71.2,65.3,34.8,57.9,67
Population Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veterans; 2011-2015,69323,670617,110238,119711,668933,426493,211066,198396,297312,281989,119058,505794,403900,355083,626722,342388,451342,184774,90000,132918,220332,106827,220953,393277,164157,828586,696119,51179,806531,295847,306723,870770,66076,1777410,378959,63742,462414,1539655,134332,44708,706539,564864,150021,381940,391725,48505,199331,71213,28632,1507738,363170
Foreign born persons; percent; 2011-2015,7.4,9.8,17.7,6.1,14,4.8,4.7,6.9,3.4,4,3.5,13.5,14.5,15.5,6.3,7.7,3.9,2.3,2.1,6.6,19.2,5.7,4.7,21.7,9.8,22.5,7.7,3.2,4.1,5.8,9.9,6.3,13.3,27,4.8,3,4.8,16.6,8.4,4.3,11.7,13.4,1.5,4.8,9.8,3.6,13.9,8.7,14.1,19.7,3.5
Housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Housing units;  July 1; 2015;  (V2015),309448,4182110,532455,692493,5317383,2841373,1369359,1253861,1957037,2024645,729413,2929030,2434307,2845699,4550296,2397720,2746599,1300892,494198,820913,1209756,622561,1347528,3593604,914952,8206739,4490948,362960,5156307,1711453,1718409,5602813,462578,13987625,2210082,380331,2892305,10587752,1038003,326894,3468829,2991484,885475,2657231,2309228,269448,1495953,421747,309574,9209857,2218287
Housing units; April 1; 2010,306967,4088801,519508,667796,5296715,2795541,1336417,1233215,1927164,1964981,721830,2844526,2378814,2808254,4532233,2347201,2712729,1274719,482825,796793,1173814,614754,1316299,3553562,901388,8108103,4327528,317498,5127508,1664378,1675562,5567315,463388,13680081,2137683,363438,2812133,9977436,979709,322539,3364939,2885677,881917,2624358,2212898,261868,1487891,405885,296719,8989580,2171853
Owner-occupied housing unit rate; 2011-2015,63.4,63.3,56.9,68.9,66.4,69,71.5,66.7,67.2,65.8,71.2,62.8,66.8,62.1,71,71.7,67.2,68.4,67.2,66.2,55.1,71,66.1,64.5,68.1,53.6,65.1,64.1,66.3,66.1,61.3,69.2,60.1,54.3,68.6,68.1,66.8,62.2,69.5,71,66.2,62.5,72.5,67.3,64.3,69.1,67,71.2,41.2,65.3,68.7
Median value of owner-occupied housing units; 2011-2015,250000,148100,515300,162900,173800,124200,129200,132000,123200,144100,173800,167500,286900,333100,122400,186200,138400,103100,193500,133200,173700,237300,111400,315900,160300,283400,154900,153800,129900,117900,237300,166000,238000,385500,139900,140500,142100,136000,215900,217500,245000,259500,103800,165800,247800,194800,270500,231500,475800,159000,125500
Median selected monthly owner costs -with a mortgage; 2011-2015,1827,1346,2270,1189,1636,1102,1171,1282,1112,1200,1336,1343,1951,2063,1257,1490,1210,1077,1294,1270,1442,1870,1019,2386,1227,2022,1248,1243,1246,1147,1557,1425,1815,2155,1183,1210,1181,1432,1428,1535,1711,1731,966,1402,1577,1348,2067,1537,2294,1435,1139
Median selected monthly owner costs -without a mortgage; 2011-2015,554,392,505,340,574,378,434,455,339,317,477,380,582,717,461,479,402,341,387,471,410,747,327,973,327,709,373,423,444,370,469,498,682,500,347,433,359,460,388,641,433,511,293,532,419,386,833,445,610,463,345
Median gross rent; 2011-2015,1146,879,1438,743,907,745,697,757,675,788,777,913,1230,1102,783,848,746,717,711,726,973,1000,677,1192,777,1132,797,709,730,727,907,840,925,1255,790,655,764,882,887,895,1116,1014,643,776,1002,789,1075,1018,1327,1002,717
Building permits; 2015,1298,45549,5422,9954,19571,18483,12097,8644,10566,13830,3699(1),28910,17057,17424,18226(1),19545,18344,6845,4826,8096,14083,3763,8500,30560,4599(1),74611,54757,6256,20047,11545,17510(1),22854,998,98188,31030,4482,32219,175443,18297,1998,28469,40374,2814,16793,31871,1903,6077,5221,4956,109924,14054
Families and Living Arrangements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Households; 2011-2015,250969,3574362,450572,589320,4786388,2501937,1236409,1113472,1708499,1727919,553284,2412212,2166389,2549721,3841148,2124745,2364688,1096593,409394,736613,1016709,520251,1138025,3189486,763603,7262279,3775581,299638,4585084,1455321,1533430,4958859,410602,12717801,1815094,330858,2504556,9149196,906292,257167,3062783,2668912,740890,2299107,2024468,226865,1352583,344022,273390,7300494,1848325
Persons per household; 2011-2015,2.81,2.73,3.02,2.69,2.63,2.55,2.42,2.53,2.5,2.6,2.34,2.69,2.67,2.53,2.52,2.49,2.48,2.64,2.41,2.47,2.72,2.47,2.53,2.73,2.67,2.63,2.54,2.32,2.46,2.57,2.51,2.49,2.46,2.96,2.56,2.45,2.53,2.84,3.15,2.34,2.62,2.56,2.43,2.43,2.55,2.49,2.57,2.62,2.22,2.63,2.55
Living in same house 1 year ago; percent of persons age 1 year+; 2011-2015,80.9,84,85.1,82.4,86.8,85,84.8,83.5,84.7,86.3,85.9,81.3,86.6,87.1,85.3,85.5,83.9,86.1,83.6,83.7,78.8,86.5,83.9,90.2,85.7,89.1,84.7,82.2,85.3,82.6,81.9,88,86.6,85.2,84.7,83.4,84.7,83.3,82.9,86.5,84.4,82.5,88.2,85.8,80.8,81.9,87.8,86.6,79.9,83.8,85.3
Language other than English spoken at home; percent of persons age 5 years+; 2011-2015,16.2,13.6,25.2,10.6,22.7,8.3,7.4,11.3,5.1,8.5,6.6,26.9,17.2,22.5,9.2,11,6,3.9,4.1,10.8,30,7.9,7.2,30.5,35.7,30.4,11.2,5.6,6.7,9.8,15.1,10.6,21.4,43.9,6.9,6.5,6.9,35,14.7,5.4,15.4,18.9,2.5,8.7,16.9,7.1,21.9,12.9,17,28.1,5.2
Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High school graduate or higher; percent of persons age 25 years+; 2011-2015,92.1,85.4,91,89.5,87.9,87.8,91.5,90.2,84.2,83.4,91.6,86,89.4,89.8,89.6,92.4,88.4,82.3,92.8,90.7,85.1,92.3,84.8,88.6,84.2,85.6,85.8,91.7,89.1,86.9,89.8,89.2,86.2,81.8,85.6,90.9,85.5,81.9,91.2,91.8,88.3,90.4,85,91,90.7,92.3,89.9,88.4,89.3,86.9,84.3
Bachelor's degree or higher; percent of persons age 25 years+; 2011-2015,28,28.8,30.8,25.9,32.3,24.1,26.7,31,22.3,22.5,29,27.5,37.9,40.5,26.9,33.7,27.1,20.7,29.5,29.3,23,34.9,21.1,36.8,26.3,34.2,28.4,27.7,26.1,24.1,30.8,28.6,31.9,31.4,25.8,27,24.9,27.6,31.1,36,36.3,32.9,19.2,27.8,38.1,25.7,37.6,30,54.6,27.3,23.5
Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
With a disability; under age 65 years; percent; 2011-2015,8.1,8.8,6.5,9,7.1,9.7,7.9,8.6,12.9,11,11.9,8.2,7.1,7.9,10.3,7.1,10.4,11.9,9.1,7.3,9,8.5,12.3,6.6,10.1,7.4,9.6,6.8,9.9,11.3,10.2,9.5,8.9,6.8,10.3,8.4,11.2,8.1,6.6,10,7.7,8.9,14.4,8.2,7.2,8.5,7.1,8.5,8.3,8.5,11.8
Persons  without health insurance; under age 65 years; percent,16.4,15.7,4.7,12.9,8.1,11.2,5.9,10.6,7,13.8,10.3,12.8,7.5,3.3,7.1,5.2,11.4,14.8,14,9.5,14,7.5,11.1,10,12.8,8.1,13.1,8.9,7.6,16.2,8.3,7.5,6.7,9.7,12.9,12,12,19.1,11.5,4.6,10.5,7.6,7.2,6.6,9.2,13.4,6.9,6.8,4.2,16.2,11.9
Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In civilian labor force; total; percent of population age 16 years+; 2011-2015,67.7,62.3,61.5,62.6,65.6,63.9,67.6,66.3,59.1,60.4,63.4,59.3,67.9,67.5,61.2,70,63.2,57.5,63.6,69.9,64,68.2,58.5,65.9,59.1,63.3,61.8,69.3,63.3,61.1,62.1,62.8,65.5,63.1,60.1,68.6,61,64.3,67.7,66.6,64.7,63.5,53.9,67.1,67.6,67.7,67.2,63.1,68.3,58.8,58
In civilian labor force; female; percent of population age 16 years+; 2011-2015,65,57.9,58.8,56.8,60.7,59,63.3,61.6,54.9,56,59.9,54.5,64.1,63.4,57.1,66.2,59.3,53.7,59.5,65.2,59.3,63.8,53.3,60.6,54.9,58.7,57.7,65,59,55.7,57.6,58.3,61.6,57.2,56.2,64.6,56.3,57.7,59.5,63.6,60.8,58.5,49.2,63.5,62.6,62.7,62.8,59.4,66.2,54.7,53
Total accommodation and food services sales; 2012 ($1;000)  (c),2221335,18976611,9536706,2680225,27937381,13076602,5468687,4873411,7500115,11697949,2901347,13996635,12516782,17508975,17962356,11722627,12430310,6999175,2420455,3094498,27481505,2942278,4307264,19673558,4349672,49285508,18622258,2045123,20652777,7121153,8466788,23504192,2481314,90830372,9763818,1873699,12499013,54480811,4789281,1564272,17795901,14297278,4036333,10303256,13617654,1644844,9542068,2148437,5101602,49817925,7576462
Total health care and social assistance receipts/revenue; 2012 ($1;000)  (c),6375483,51800643,8136947,7895614,83431778,42493117,18583828,18248370,26264745,27951792,10297043,37055881,40821901,63583090,63018786,40403572,40089316,16630587,6469475,12869418,13928514,9616460,15792628,60375232,11236630,155666053,55227505,5418355,80915693,22795438,24956816,96329248,8223005,248953592,22941292,6211731,42383683,145035130,14521857,4457996,47705003,43966889,12259395,40680625,29488161,3291478,29573119,7003251,8963981,124061425,26039632
Total manufacturers shipments; 2012 ($1;000)  (c),D,155836792,D,20201432,281037755,242763842,116668830,86076260,129284438,271191050,16044543,51243473,39532989,81927799,238892383,123076309,111535362,66441608,11535236,57499177,14719141,18895624,62712925,108854971,29102352,148879931,202344646,14427360,313629976,74295394,51349948,231396178,11262158,512303164,99160840,16882647,139960482,702603073,50046429,9315494,96389872,131530601,24553072,177728926,50447098,10783794,55160095,22597384,309832,96924106,124809759
Total merchant wholesaler sales; 2012 ($1;000)  (c),5216303,143645290,9607982,17906012,295456992,81173422,62318301,60226324,71745899,68012838,12961262,69437272,60734191,123904370,115704903,104485117,91916351,28302952,12645824,42618995,19841701,18029179,31256110,288467844,10720363,341734970,105275586,28150837,155426023,71892946,48325261,191170147,22310389,666652186,45520900,20411059,111718421,691242607,30927885,6450076,86613641,83313366,14295437,77066883,77034971,5597891,161962244,5628914,2591868,252626608,57746565
Total retail sales; 2012 ($1;000)  (c),10474275,119801495,18901745,20444278,166634514,85857962,44905624,38276461,54869978,61396364,21521714,84716542,76379707,92915380,119302046,78898182,90546581,37053190,15623573,30470717,38234170,26018201,36815256,133665728,25179274,251167736,120691007,15519816,153553997,50256231,49481054,178794945,12063865,481800461,58093824,13791827,91641605,356116376,38024486,9933751,110002385,118924049,22637923,78201822,67815200,9446043,51632467,14456001,4439933,273867145,58564965
Total retail sales per capita; 2012  (c),14320,12077,13576,12812,12942,13133,14607,13263,12526,13342,16192,12927,12980,13980,12071,14667,15036,12413,15544,16422,13858,19700,12483,15079,12073,12834,12376,22183,13301,13174,12690,14008,11486,12665,12298,16550,14194,13666,13317,15868,13438,17243,12201,13656,13073,16388,14381,15763,7022,14177,12145
Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean travel time to work (minutes); workers age 16 years+; 2011-2015,19,27.4,26.8,20.2,28.4,23.3,18.9,19.1,23,25.1,23.6,24.8,32.3,28.7,24.2,23.1,23.2,24.1,18.1,18.3,23.9,26.9,21.6,31,21.6,32.3,23.9,17.2,23.2,21.3,22.9,26.3,24.2,28,23.9,16.9,24.5,25.6,21.6,22.5,27.9,26.3,25.6,21.9,24.8,18.3,25.4,25.5,29.7,26.4,24.4
Income and Poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median household income (in 2015 dollars); 2011-2015,72515,49620,69515,47583,57574,49255,53183,52205,43740,45047,49331,50255,74551,68563,49576,61492,48173,39665,47169,52997,51847,66779,41371,72093,44963,59269,46868,57181,49429,46879,51243,53599,56852,61818,45483,50957,45219,53207,60727,55176,65015,61062,41751,53357,60629,58840,70331,60509,70848,47507,43623
Per capita income in past 12 months (in 2015 dollars); 2011-2015,33413,25737,29822,23399,30494,25346,27950,27706,24063,24981,27655,25848,36897,36895,26607,32157,26259,21057,26381,27882,26541,34362,22798,36582,24012,33236,25920,32035,26953,25032,27684,29291,31118,30318,24604,26747,25227,26999,24686,29894,34152,31762,23450,28340,32217,29803,38803,30554,47675,26829,24091
